Date,S. No.,Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death
04-07-2020,25,Rajasthan,288,21,3
04-07-2020,26,Tamil Nadu,621,8,5
04-07-2020,27,Telengana,364,35,7
04-07-2020,28,Tripura,1,0,0
04-07-2020,29,Uttarakhand,31,5,0
04-07-2020,30,Uttar Pradesh,305,21,3
04-07-2020,31,West Bengal,91,13,3
04-08-2020,1,Andhra Pradesh,305,5,4
04-08-2020,2,Andaman and Nicobar Islands,10,0,0
04-08-2020,3,Arunachal Pradesh,1,0,0
04-08-2020,4,Assam,27,0,0
04-08-2020,5,Bihar,38,0,1
04-08-2020,6,Chandigarh,18,7,0
04-08-2020,7,Chhattisgarh,10,9,0
04-08-2020,8,Delhi,576,21,9
04-08-2020,9,Goa,7,0,0
04-08-2020,10,Gujarat,165,25,13
04-08-2020,11,Haryana,147,28,3
04-08-2020,12,Himachal Pradesh,18,2,1
04-08-2020,13,Jammu and Kashmir,116,4,2
04-08-2020,14,Jharkhand,4,0,0
04-08-2020,15,Karnataka,175,25,4
04-08-2020,16,Kerala,336,70,2
04-08-2020,17,Ladakh,14,10,0
04-08-2020,18,Madhya Pradesh,229,0,13
04-08-2020,19,Maharashtra,1018,79,64
04-08-2020,20,Manipur,2,0,0
04-08-2020,21,Mizoram,1,0,0
04-08-2020,22,Odisha,42,2,1
04-08-2020,23,Puducherry,5,1,0
04-08-2020,24,Punjab,91,4,7
04-08-2020,25,Rajasthan,328,21,3
04-08-2020,26,Tamil Nadu,690,19,7
04-08-2020,27,Telengana,427,35,7
04-08-2020,28,Tripura,1,0,0
04-08-2020,29,Uttarakhand,31,5,0
04-08-2020,30,Uttar Pradesh,343,26,3
04-08-2020,31,West Bengal,99,13,5
04-09-2020,1,Andhra Pradesh,348,6,4
04-09-2020,2,Andaman and Nicobar Islands,11,0,0
04-09-2020,3,Arunachal Pradesh,1,0,0
04-09-2020,4,Assam,28,0,0
04-09-2020,5,Bihar,39,0,1
04-09-2020,6,Chandigarh,18,7,0
04-09-2020,7,Chhattisgarh,10,9,0
04-09-2020,8,Delhi,669,21,9
04-09-2020,9,Goa,7,0,0
04-09-2020,10,Gujarat,179,25,16
04-09-2020,11,Haryana,169,29,3
04-09-2020,12,Himachal Pradesh,18,2,1
04-09-2020,13,Jammu and Kashmir,158,4,4
04-09-2020,14,Jharkhand,13,0,0
04-09-2020,15,Karnataka,181,28,5
04-09-2020,16,Kerala,345,83,2
04-09-2020,17,Ladakh,14,10,0
04-09-2020,18,Madhya Pradesh,259,0,16
04-09-2020,19,Maharashtra,1135,117,72
04-09-2020,20,Manipur,2,1,0
04-09-2020,21,Mizoram,1,0,0
